id;id_osoby;kryterium;czas;;;;id;czas_fiz;czas_nom
1;1;fiz;0,982;;;;k19_1;0,982;1,098
2;1;nom;1,098;;;;k19_2;0,965;1,082
3;2;fiz;0,965;;;;k19_3;1,595;1,882
4;2;nom;1,082;;;;k19_4;1,415;1,566
5;3;fiz;1,595;;;;k19_5;0,916;1,149
6;3;nom;1,882;;;;k19_6;1,115;1,032
7;4;fiz;1,415;;;;k20_1;1,016;0,882
8;4;nom;1,566;;;;k20_2;0,533;1,049
9;5;fiz;0,916;;;;k20_3;1,132;1,199
10;5;nom;1,149;;;;k20_4;1,532;1,597
11;6;fiz;1,115;;;;k20_5;0,65;1,232
12;6;nom;1,032;;;;k20_6;0,616;1,615
13;7;fiz;1,016;;;;k20_7;1,831;1,849
14;7;nom;0,882;;;;k22_1;1,082;1,05
15;8;fiz;0,533;;;;k23_1;0,616;0,633
16;8;nom;1,049;;;;;;
17;9;fiz;1,132;;;;;;
18;9;nom;1,199;;;;;;
19;10;fiz;1,532;;;;;;
20;10;nom;1,597;;;;;;
21;11;fiz;0,65;;;;;;
22;11;nom;1,232;;;;;;
23;12;fiz;0,616;;;;;;
24;12;nom;1,615;;;;;;
25;13;fiz;1,831;;;;;;
26;13;nom;1,849;;;;;;
27;14;fiz;1,082;;;;;;
28;14;nom;1,05;;;;;;
29;15;fiz;0,616;;;;;;
30;15;nom;0,633;;;;;;
