id;id_osoby;wynik;sposob
1;1;3;badacz
2;1;2;siebie
3;1;1;cicho
4;1;0;mysli
5;1;4,4;n_bylo
6;2;1;badacz
7;2;0;siebie
8;2;1;cicho
9;2;2;mysli
10;2;3,3;n_bylo
11;3;2;badacz
12;3;1;siebie
13;3;1;cicho
14;3;2;mysli
15;3;0;n_bylo
16;4;5;badacz
17;4;2;siebie
18;4;1;cicho
19;4;2;mysli
20;4;5,5;n_bylo
21;5;4;badacz
22;5;3;siebie
23;5;3;cicho
24;5;2;mysli
25;5;7,7;n_bylo
26;6;5;badacz
27;6;2;siebie
28;6;4;cicho
29;6;1;mysli
30;6;2,2;n_bylo
31;7;4;badacz
32;7;1;siebie
33;7;1;cicho
34;7;1;mysli
35;7;2,2;n_bylo
36;8;7;badacz
37;8;2;siebie
38;8;3;cicho
39;8;2;mysli
40;8;1,1;n_bylo
41;9;2;badacz
42;9;1;siebie
43;9;1;cicho
44;9;1;mysli
45;9;2,2;n_bylo
46;10;1;badacz
47;10;0;siebie
48;10;3;cicho
49;10;1;mysli
50;10;2,2;n_bylo
51;11;3;badacz
52;11;3;siebie
53;11;0;cicho
54;11;1;mysli
55;11;4,4;n_bylo
56;12;2;badacz
57;12;0;siebie
58;12;0;cicho
59;12;1;mysli
60;12;3,3;n_bylo
61;13;3;badacz
62;13;6;siebie
63;13;1;cicho
64;13;1;mysli
65;13;8,8;n_bylo
66;14;4;badacz
67;14;5;siebie
68;14;3;cicho
69;14;4;mysli
70;14;4,4;n_bylo
71;15;5;badacz
72;15;1;siebie
73;15;2;cicho
74;15;1;mysli
75;15;1,1;n_bylo
76;16;8;badacz
77;16;2;siebie
78;16;1;cicho
79;16;4;mysli
80;16;8,8;n_bylo
81;17;5;badacz
82;17;1;siebie
83;17;2;cicho
84;17;4;mysli
85;17;3,3;n_bylo
86;18;6;badacz
87;18;1;siebie
88;18;1;cicho
89;18;0;mysli
90;18;0;n_bylo
91;19;5;badacz
92;19;1;siebie
93;19;3;cicho
94;19;2;mysli
95;19;1,1;n_bylo
96;20;1;badacz
97;20;5;siebie
98;20;3;cicho
99;20;0;mysli
100;20;5,5;n_bylo
101;21;1;badacz
102;21;4;siebie
103;21;1;cicho
104;21;0;mysli
105;21;8,8;n_bylo
106;22;5;badacz
107;22;6;siebie
108;22;3;cicho
109;22;3;mysli
110;22;4,4;n_bylo
111;23;3;badacz
112;23;3;siebie
113;23;2;cicho
114;23;2;mysli
115;23;5,5;n_bylo
116;24;8;badacz
117;24;4;siebie
118;24;2;cicho
119;24;3;mysli
120;24;1,1;n_bylo
